1067304,1067477,+
1073465,1074103,+
1078528,1080036,+
1080579,1080683,+
1080683,1081408,+
1081466,1082593,+
1082599,1083870,+
1084215,1085279,+
1092099,1093457,+
1094728,1095069,+
1095066,1096052,+
1097109,1098047,+
1098102,1098839,+
1098863,1099417,+
1099519,1100010,+
1103174,1103629,+
1103670,1104125,+
1104184,1104516,+
1104637,1104948,+
1105043,1105576,+
1105578,1106999,+
1108558,1110093,+
1110086,1112629,+
1112802,1113029,+
1116030,1117082,+
1124785,1125369,+
1125380,1126027,+
1126029,1126952,+
1127062,1128597,+
1130241,1130657,+
1130661,1131065,+
1131077,1131772,+
1131797,1133005,+
1133025,1133780,+
1133952,1134734,+
1134787,1135485,+
1135497,1136594,+
1136594,1137535,+
1137601,1139244,+
1139256,1140209,+
1143725,1144045,+
1144163,1145122,+
1146017,1146538,+
1146590,1146763,+
1146844,1147914,+
1147982,1148935,+
1148951,1149880,+
1149893,1150627,+
1150838,1151074,+
1151162,1152403,+
1152523,1153332,+
1153335,1154357,+
1154347,1154988,+
1154985,1155989,+
1156000,1156797,+
1157092,1158525,+
1161108,1161467,+
1161470,1161847,+
1161861,1162502,+
1162483,1163307,+
1163318,1164343,+
1164366,1164908,+
1165308,1166612,+
1166822,1167361,+
1168296,1168553,+
1174650,1175849,+
1175842,1176543,+
1176543,1177787,+
1177816,1178727,+
1178743,1179582,+
1185067,1186293,+
1194346,1195596,+
1197918,1198811,+
1200720,1201061,+
1202247,1202447,+
1202491,1203048,+
1203045,1203383,+
1203393,1203626,+
1203627,1204760,+
1204772,1204954,+
1204954,1205365,+
1205366,1206145,+
1206136,1206720,+
1206724,1207353,+
1207355,1207768,+
1208908,1209462,+
1209569,1210402,+
1210636,1210800,+
1215012,1215248,+
1215291,1215563,+
1215592,1215858,+
1215971,1216219,+
1216551,1218074,+
1218206,1218424,+
1218824,1221471,+
1222487,1222672,+
1222787,1222894,+
1222894,1223130,+
1225823,1226191,+
1226904,1227230,+
1227302,1227961,+
1228038,1228499,+
1229990,1230409,+
1230409,1231677,+
1234161,1234880,+
1236794,1238092,+
1238102,1239172,+
1242403,1243014,+
1243951,1244205,+
1244383,1244823,+
1250289,1252208,+
1258014,1258292,+
1262937,1264193,+
1264235,1265317,+
1265317,1266150,+
1266147,1266539,+
1266543,1267352,+
1267388,1268242,+
1271342,1271572,+
1271730,1272425,+
1273007,1274401,+
1277180,1278571,+
1279087,1282830,+
1282827,1284365,+
1284362,1285072,+
1285072,1285749,+
1288468,1289373,+
1289465,1290478,+
1290680,1291588,+
1292750,1293367,+
1294215,1294364,+
1294363,1294545,+
1297821,1298468,+
1299206,1300837,+
1300923,1301843,+
1301858,1302766,+
1302778,1303791,+
1303788,1304792,+
1306812,1306985,+
1309113,1309832,+
1312044,1312682,+
1321244,1322125,+
1322122,1322742,+
1322770,1324665,+
1324876,1325751,+
1327356,1328405,+
1329072,1331669,+
1331879,1332853,+
1333184,1333312,+
1333315,1333482,+
1333855,1336530,+
1337354,1338118,+
1338267,1338575,+
1338582,1339751,+
1339945,1340682,+
1340682,1341008,+
1344820,1344924,+
1359144,1359908,+
1359935,1360492,+
1360767,1362254,+
1362256,1363536,+
1363574,1364839,+
1366103,1366771,+
1366825,1367049,+
1367049,1367408,+
1367417,1367638,+
1367713,1368027,+
1368240,1369919,+
1369933,1371225,+
1371246,1372127,+
1372114,1372956,+
1372987,1374039,+
1374058,1374846,+
1374856,1375911,+
1375908,1378175,+
1378172,1378831,+
1378845,1379801,+
1379801,1379926,+
1379971,1380876,+
1382141,1383538,+
1383535,1384596,+
1384744,1386285,+
1386954,1387919,+
1390015,1390914,+
1391251,1392864,+
1394100,1395116,+
1395389,1395646,+
1402765,1403673,+
1404003,1404566,+
1406074,1407057,+
1407535,1408908,+
1416695,1417183,+
1418389,1418685,+
1418708,1419130,+
1419143,1420000,+
1420007,1420753,+
1420725,1421224,+
1421225,1421668,+
1421424,1421609,+
1421806,1423263,+
1423401,1423664,+
1423654,1424106,+
1424478,1425410,+
1425413,1425622,+
1426819,1427008,+
1427073,1430435,+
1430435,1431010,+
1439082,1439348,+
1441075,1443714,+
1443711,1443896,+
1443904,1444230,+
1445543,1447042,+
1451951,1452880,+
1452892,1453179,+
1453188,1453934,+
1453949,1454446,+
1454454,1455524,+
1455521,1456288,+
1456288,1457076,+
1457078,1458505,+
1458495,1458917,+
1458917,1460122,+
1460149,1461462,+
1461563,1462513,+
1462495,1463085,+
1463416,1465928,+
1467265,1467317,+
1468541,1472037,+
1467382,1468533,+
1472245,1473105,+
1473168,1475474,+
1475645,1476250,+
1476250,1477146,+
1477162,1478919,+
1478933,1480225,+
1481085,1484987,+
1485259,1486059,+
1486256,1487695,+
1487988,1488737,+
1488926,1489456,+
1489701,1489874,+
1490494,1492134,+
1493312,1494655,+
1494880,1496535,+
1496675,1496899,+
1496962,1497501,+
1498597,1499589,+
1499586,1500179,+
1500481,1501149,+
1501741,1502889,+
1504196,1504732,+
1504805,1506766,+
1507310,1507486,+
1507532,1507948,+
